nome,tipo
Aline Souza,Proprietario
Carla Rodrigues,Proprietario
Camila Costa,Proprietario
Marina Lima,Proprietario
Roberto Almeida,Proprietario
Maria Ferreira,Proprietario
Ricardo Ferreira,Proprietario
Ana Pereira,Proprietario
Roberto Oliveira,Proprietario
Maria Almeida,Proprietario
Ana Oliveira,Proprietario
Paulo Rodrigues,Proprietario
Eduardo Lima,Proprietario
João Rodrigues,Proprietario
Beatriz Santos,Proprietario
Gustavo Lima,Inquilino
Fernanda Lima,Inquilino
João Costa,Inquilino
Roberto Almeida,Inquilino
João Silva,Inquilino
Carla Oliveira,Inquilino
Marina Souza,Inquilino
Juliana Lima,Inquilino
Carla Almeida,Inquilino
Camila Santos,Inquilino
Marina Oliveira,Inquilino
Fernanda Silva,Inquilino
André Souza,Inquilino
Juliana Costa,Inquilino
Carla Santos,Inquilino
